ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MDG,Madagascar,1.7152035521522334e+33,1.5163076522529802e+33,1.5783798158772806e+33,1.4962341854511877e+33,1.488034921737272e+33,1.5439550260437346e+33,1.597879786664667e+33,1.6080274429002515e+33,1.670750190097778e+33,1.6141223795506813e+33,1.664527761958935e+33,1.7300974305579502e+33,1.6878349980127638e+33,1.569043173475391e+33,1.670391472571213e+33,1.6482472241132013e+33,1.5362840333750362e+33,1.376569406348466e+33,1.3214831297877003e+33,1.3619409569862865e+33,1.3435653374043263e+33
LBR,Liberia,1.2794318699943542e+32,1.3168756026967465e+32,1.2652797822474727e+32,1.385872826007256e+32,1.3547274024246931e+32,1.2130650754911433e+32,1.2908856717903252e+32,1.3141748738317826e+32,1.2516301565074781e+32,1.1363868795658116e+32,1.4033587951584437e+32,1.2834424712013594e+32,1.1856839842627439e+32,1.300563372906092e+32,1.2842950579945605e+32,1.2196428184135662e+32,1.2890768477367354e+32,1.2582115434921595e+32,9.660900236586698e+31,1.011183902021542e+32,1.0135339714328265e+32
LSO,Lesotho,7.186657796958012e+31,8.396884106853874e+31,7.7554376355248e+31,7.620265288842613e+31,7.511546938495623e+31,7.8576411099881435e+31,7.129030041345209e+31,8.12708440839379e+31,7.73289594391212e+31,8.009586475195127e+31,8.946796368449802e+31,7.936261501813921e+31,8.063990248470666e+31,7.862052627806349e+31,7.264831357537818e+31,8.14199142955778e+31,7.540324427938325e+31,7.808594123192336e+31,7.973737832495109e+31,8.334061746360734e+31,6.495107226597694e+31
KEN,Kenya,1.0358415486607458e+33,9.632424821561972e+32,1.0034717469168841e+33,9.826346282169739e+32,1.0287374417125402e+33,1.0601903265166567e+33,1.0681463851578704e+33,1.1053058633733373e+33,9.944804109771876e+32,1.0339972907550746e+33,1.0263173281600844e+33,9.38469182450925e+32,1.0055099986364511e+33,1.0718833776469238e+33,1.022882094199183e+33,9.98309445337827e+32,1.0426699422271981e+33,1.0098963415401777e+33,9.257962855854906e+32,9.309191399091861e+32,9.140554720635288e+32
GNB,Guinea-Bissau,8.377564044230197e+31,8.921704410051367e+31,8.512564557271173e+31,7.700941586198554e+31,7.938758213723074e+31,7.1863641798737165e+31,8.24032506606889e+31,7.540535488598421e+31,7.704425006122701e+31,7.96455236279192e+31,7.810286635763973e+31,8.124158229167947e+31,7.280959920971078e+31,6.657852394343413e+31,7.1869046353507505e+31,6.532633674028987e+31,7.0505776867707215e+31,7.140021713430606e+31,6.804094415572081e+31,7.032612769278567e+31,6.347769948553847e+31
GIN,Guinea,7.47040288161643e+32,7.501235087336761e+32,7.226096545327694e+32,7.354927515339593e+32,7.449156329420317e+32,6.672414018089586e+32,7.076508975921163e+32,6.732914885738896e+32,7.099459907314739e+32,6.931915439924248e+32,6.967537013142599e+32,7.507704482478907e+32,7.24579759242502e+32,6.762874423439571e+32,6.3374868111867544e+32,6.406738060800195e+32,6.359539834948807e+32,6.307647290110199e+32,6.276376613589267e+32,6.1729936105203416e+32,5.599306141053904e+32
GHA,Ghana,8.756552007503672e+32,7.91780941297817e+32,8.084752721095105e+32,8.0196015493228e+32,7.472615701733404e+32,7.210608706767767e+32,7.651955944271965e+32,7.472826602191109e+32,7.699151656570115e+32,6.96336463178511e+32,7.858789838812588e+32,7.988790681900752e+32,7.850490327277591e+32,7.721264968544908e+32,6.866693699735893e+32,7.58627755214884e+32,7.004387313493306e+32,7.081083584296003e+32,6.0772696641722465e+32,6.454531847544824e+32,6.822546531294668e+32
GMB,Gambia,2.761179894103589e+31,2.9279028686172648e+31,2.7818398306812737e+31,2.7117966490674603e+31,2.6353459129032018e+31,2.7314471192980384e+31,2.8457866718631565e+31,2.4162205111236776e+31,2.780019551626256e+31,2.649555055173227e+31,2.5541571206500267e+31,2.8672297759950217e+31,2.540867076885361e+31,2.2910395725820875e+31,2.391932933688606e+31,2.4438306874504197e+31,2.680599522214992e+31,2.4912720762600155e+31,2.902609069091694e+31,2.4733023325270116e+31,2.480360316158043e+31
GAB,Gabon,3.315723016937545e+32,3.0059839249374496e+32,3.293710357579902e+32,4.029402776750752e+32,3.505811013759299e+32,4.301889999857746e+32,4.3331962473239665e+32,4.5950332225748265e+32,3.672730382577111e+32,3.830343687641747e+32,3.794493558945234e+32,3.7032703219019284e+32,3.830214087691228e+32,4.3050896302174604e+32,4.003438206974143e+32,3.9739565405942285e+32,3.991821264650388e+32,3.966440246161665e+32,2.935679729037151e+32,2.7504890016112015e+32,3.2306073439354692e+32
ETH,Ethiopia,2.363237183235632e+33,2.2549406490308817e+33,2.284191387673412e+33,2.2386888302999127e+33,2.2953862548266137e+33,2.3226725549892907e+33,2.3040796256287938e+33,2.3541464151141842e+33,2.471718547649435e+33,2.3430647106939708e+33,2.420135042939002e+33,2.412089346725449e+33,2.283762587755424e+33,2.343254285204589e+33,2.3358755996448634e+33,2.2906085131386905e+33,2.2130809264401886e+33,2.1328942743308116e+33,1.9945294327305437e+33,2.0905028839545473e+33,2.0856967425359213e+33
